loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_kl_divergence,eval_js_divergence,eval_hard_accuracy,eval_entropy_correlation,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.401,13.504711151123047,1.7072681704260653e-05,2.197802197802198,3800,,,,,,,,,,,,,
0.3934,13.565245628356934,1.6995565837671103e-05,2.255639097744361,3900,,,,,,,,,,,,,
0.441,15.12856674194336,1.691844997108155e-05,2.313475997686524,4000,,,,,,,,,,,,,
0.4244,14.111432075500488,1.6841334104492e-05,2.371312897628687,4100,,,,,,,,,,,,,
0.4199,5.365179061889648,1.676421823790245e-05,2.42914979757085,4200,,,,,,,,,,,,,
0.4393,17.56244659423828,1.6687102371312898e-05,2.4869866975130135,4300,,,,,,,,,,,,,
0.4315,17.680936813354492,1.660998650472335e-05,2.5448235974551765,4400,,,,,,,,,,,,,
0.4294,9.495000839233398,1.65328706381338e-05,2.6026604973973395,4500,,,,,,,,,,,,,
0.4698,6.963050365447998,1.6455754771544246e-05,2.6604973973395025,4600,,,,,,,,,,,,,
0.43,13.319047927856445,1.6378638904954697e-05,2.7183342972816655,4700,,,,,,,,,,,,,
0.4544,17.004953384399414,1.6301523038365147e-05,2.776171197223829,4800,,,,,,,,,,,,,
0.4746,8.576103210449219,1.6224407171775594e-05,2.834008097165992,4900,,,,,,,,,,,,,
0.4865,10.408644676208496,1.614806246385194e-05,2.891844997108155,5000,,,,,,,,,,,,,
0.4209,17.184511184692383,1.607094659726239e-05,2.949681897050318,5100,,,,,,,,,,,,,
,,,3.0,5187,0.5589467287063599,0.5589467287063599,0.13564728200435638,0.7550607287449392,0.24858984536810352,3.6041,822.387,51.607,,,,,
0.4483,10.038434982299805,1.5993830730672838e-05,3.007518796992481,5200,,,,,,,,,,,,,
0.3732,11.81175708770752,1.5916714864083288e-05,3.0653556969346445,5300,,,,,,,,,,,,,
0.365,32.55850601196289,1.5839598997493735e-05,3.1231925968768075,5400,,,,,,,,,,,,,
0.3824,15.47227954864502,1.5762483130904186e-05,3.1810294968189705,5500,,,,,,,,,,,,,
0.3795,4.747247695922852,1.5685367264314636e-05,3.2388663967611335,5600,,,,,,,,,,,,,
0.3163,5.051085948944092,1.5609793715056874e-05,3.2967032967032965,5700,,,,,,,,,,,,,
0.3626,3.5413334369659424,1.5532677848467325e-05,3.35454019664546,5800,,,,,,,,,,,,,
